字段1,字段1_link,字段2,字段3,字段4,字段5,字段6
General Labourers & Operators,https://www.seek.co.nz/job/50468599?type=standard#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,Genera Limited,location: Hawkes BayHawkes Bayarea: NapierNapier,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"2d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
General hand needed for large engineering workshop,https://www.seek.co.nz/job/50598205?type=standard#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,Engineering Services Rotorua Ltd,location: Bay of PlentyBay of Plentyarea: RotoruaRotorua,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"2d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
Grounds and Maintenance,https://www.seek.co.nz/job/50606739?type=standout#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,Black Barn Vineyards,"location: Hawkes BayHawkes Bayarea: HastingsHastings,$20 - $29.99 per hour",classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services,"1d ago,at",$20 - $29.99 per hour
Maintenance Officer,https://www.seek.co.nz/job/50601193?type=standard#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,Hurunui District Council,location: CanterburyCanterburyarea: North CanterburyNorth Canterbury,classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping,"2d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping
Maintenance Person,https://www.seek.co.nz/job/50609076?type=standard#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,Jora New Zealand,location: Hawkes BayHawkes Bayarea: NapierNapier,classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services,"22h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services
Night and Day Cleaners needed,https://www.seek.co.nz/job/50609728?type=standard#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,Kleenrite Group,location: WellingtonWellingtonarea: Wellington CentralWellington Central,classification: Trades & ServicesTrades & ServicessubClassification: Cleaning ServicesCleaning Services,"21h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Cleaning ServicesCleaning Services
Property Maintenance Officer,https://www.seek.co.nz/job/50615069?type=standard#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,Central Kids Early Education,location: Bay of PlentyBay of Plentyarea: RotoruaRotorua,classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services,"50m ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services
Drainage Labourer,https://www.seek.co.nz/job/50605526?type=standard#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,$25 - $29.99 per hour",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"1d ago,at,Private Advertiser",$25 - $29.99 per hour
Parks & Gardens Maintenance Officer,https://www.seek.co.nz/job/50583039?type=standout#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,Christchurch City Council,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping,"6d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping
Trade Assistant,https://www.seek.co.nz/job/50560272?type=standout#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,Drake New Zealand - Hamilton,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive pay rates",classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades,"9d ago,at",Competitive pay rates
Offset Printer,https://www.seek.co.nz/job/50587775?type=standard#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,Logick Print and Graphics Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: Printing & Publishing ServicesPrinting & Publishing Services,"5d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Printing & Publishing ServicesPrinting & Publishing Services
Meter Readers,https://www.seek.co.nz/job/50600558?type=standout#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,NetYourJob,location: AucklandAucklandarea: Papakura & FranklinPapakura & Franklin,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"2d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
Full-time and Part-time Beauty Therapists Required,https://www.seek.co.nz/job/50524905?type=promoted#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Bare Waxing,location: AucklandAuckland,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"Featured,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Colourist,https://www.seek.co.nz/job/50543715?type=promoted#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,M11 Studio,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"Featured,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Assistant Technician,https://www.seek.co.nz/job/50580323?type=standard#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Zion Motorhomes Ltd,location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"6d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
Labourer - Fixed Term,https://www.seek.co.nz/job/50613517?type=standard#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Recreational Services,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"4h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
Maintenance person,https://www.seek.co.nz/job/50582937?type=standard#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Olive Tree,location: ManawatuManawatuarea: Palmerston NorthPalmerston North,classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services,"6d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services
Electrial Apprentice,https://www.seek.co.nz/job/50613191?type=standard#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Schindler Lifts (NZ) Limited,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians,"6h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians
Armourguard Christchurch Cash Crew Officers,https://www.seek.co.nz/job/50607088?type=standout#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Armourguard,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: Security ServicesSecurity Services,"1d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Security ServicesSecurity Services
Maintenance Roles,https://www.seek.co.nz/job/50606902?type=standard#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Tasman Tanning South Island Limited,"location: CanterburyCanterburyarea: Timaru & South CanterburyTimaru & South Canterbury,$60,000 - $69,999",classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services,"1d ago,at","$60,000 - $69,999"
Landscaper,https://www.seek.co.nz/job/50598528?type=standard#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Twoticks,"location: Hawkes BayHawkes Bayarea: HastingsHastings,Competitive pay, career development & great team",classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping,"2d ago,at","Competitive pay, career development & great team"
Casual Gardener,https://www.seek.co.nz/job/50613578?type=standard#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Waikanae Lodge Arvida,location: WellingtonWellingtonarea: Porirua & Kapiti CoastPorirua & Kapiti Coast,classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping,"3h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping
General Labourer - Water supply works,https://www.seek.co.nz/job/50607126?type=standard#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Advanced Personnel Services Ltd,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"1d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
Groundsperson/Maintenance Support,https://www.seek.co.nz/job/50613256?type=standard#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,St Peter's College Epsom,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services,"5h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services
MAINTENANCE OPPORTUNITY,https://www.seek.co.nz/job/50613841?type=standard#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Hamilton Girls' High School,location: WaikatoWaikatoarea: HamiltonHamilton,classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services,"3h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services
Shower Installer,https://www.seek.co.nz/job/50610498?type=standard#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Newline Group Ltd,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,$25 - $34.99 per hour",classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades,"19h ago,at",$25 - $34.99 per hour
Yard Person,https://www.seek.co.nz/job/50590782?type=standard#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Jora New Zealand,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"5d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
Gardener,https://www.seek.co.nz/job/50459742?type=standard#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Landscape Solutions,"location: AucklandAucklandarea: Auckland CentralAuckland Central,Excellent rates. Weekly pay. Full time role.",classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping,"21h ago,at",Excellent rates. Weekly pay. Full time role.
Wind Technician - Mechanical or Electrical,https://www.seek.co.nz/job/50586236?type=standout#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Meridian,location: ManawatuManawatuarea: Palmerston NorthPalmerston North,"classification: Trades & ServicesTrades & ServicessubClassification: Fitters, Turners & MachinistsFitters, Turners & Machinists","6d ago,at","classification: Trades & ServicesTrades & ServicessubClassification: Fitters, Turners & MachinistsFitters, Turners & Machinists"
Environmental Labourer,https://www.seek.co.nz/job/50599259?type=standout#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Delta,location: OtagoOtagoarea: DunedinDunedin,classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping,"2d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping
Labourer,https://www.seek.co.nz/job/50583087?type=standout#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Enfield Services Group Limited,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"6d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
Customer Service,https://www.seek.co.nz/job/50614348?type=standard#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Jora New Zealand,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: OtherOther,"2h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: OtherOther
Weed trimmer trainee,https://www.seek.co.nz/job/50597526?type=standard#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,1st Call Recruitment,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services,"2d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services
Maintenance Technician,https://www.seek.co.nz/job/50591566?type=standout#searchRequestToken=c09510a2-7c05-4fa8-b281-4f8121479ba8,Interwaste,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"5d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
Concrete Placer,https://www.seek.co.nz/job/50564281?type=promoted#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,Mills Concreting Limited,"location: WellingtonWellingtonarea: Rest of Wellington RegionRest of Wellington Region,$20 - $29.99 per hour",classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades,"Featured,at",$20 - $29.99 per hour
Warranty Administrator - Ford & Mazda,https://www.seek.co.nz/job/50460761?type=promoted#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,Fairview Motors Limited,location: WaikatoWaikatoarea: HamiltonHamilton,classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"Featured,at",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades
"Trades Assistant: Citycare Water, Christchurch",https://www.seek.co.nz/job/50589825?type=standard#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,Citycare,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: OtherOther,"5d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: OtherOther
Night Porter,https://www.seek.co.nz/job/50613376?type=standout#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,Metlifecare,location: AucklandAucklandarea: Waitakere & West AucklandWaitakere & West Auckland,classification: Trades & ServicesTrades & ServicessubClassification: Security ServicesSecurity Services,"4h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Security ServicesSecurity Services
Film & TV - Casual Security Guards Required NOW! All Should Apply!,https://www.seek.co.nz/job/50604825?type=standout#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,Knights Security Ltd,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,classification: Trades & ServicesTrades & ServicessubClassification: Security ServicesSecurity Services,"2d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Security ServicesSecurity Services
Reticulation Serviceman - Hawera,https://www.seek.co.nz/job/50600711?type=standout#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,Veolia,location: TaranakiTaranakiarea: Rest of TaranakiRest of Taranaki,classification: Trades & ServicesTrades & ServicessubClassification: PlumbersPlumbers,"2d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: PlumbersPlumbers
Property Maintenance Assistant,https://www.seek.co.nz/job/50576796?type=standout#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,Join Our Team,"location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,$22.03 - $25.91",classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades,"7d ago,at",$22.03 - $25.91
Digital Printing Apprenticeship Opportunity,https://www.seek.co.nz/job/50608501?type=standout#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,HRtoolkit,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: Printing & Publishing ServicesPrinting & Publishing Services,"23h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Printing & Publishing ServicesPrinting & Publishing Services
Yard Service Staff,https://www.seek.co.nz/job/50577554?type=standout#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,NZ BUS,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services,"7d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services
Cleaner (Waiouru),https://www.seek.co.nz/job/50609553?type=standard#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,Spotless Facility Services (NZ) Limited,location: ManawatuManawatuarea: Rest of ManawatuRest of Manawatu,classification: Trades & ServicesTrades & ServicessubClassification: Cleaning ServicesCleaning Services,"22h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Cleaning ServicesCleaning Services
Mowing Team Member - Edgers,https://www.seek.co.nz/job/50587873?type=standout#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,Delta,location: OtagoOtagoarea: Queenstown & WanakaQueenstown & Wanaka,classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping,"5d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping
Marine Technician,https://www.seek.co.nz/job/50602853?type=standard#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,Jora New Zealand,location: TaranakiTaranakiarea: Rest of TaranakiRest of Taranaki,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"2d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
Class 1 General Labourer,https://www.seek.co.nz/job/50613476?type=standout#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,Enterprise Recruitment,"location: WellingtonWellingtonarea: Porirua & Kapiti CoastPorirua & Kapiti Coast,Competitive",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"4h ago,at",Competitive
Trade Assistant,https://www.seek.co.nz/job/50568119?type=standout#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,Hyundai Rotem Company,location: WellingtonWellingtonarea: Wellington CentralWellington Central,classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services,"8d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services
Maintenance Technician,https://www.seek.co.nz/job/50599014?type=standout#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,Apollo Motorhome Holidays,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services,"2d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services
Concrete Pump Operator Trainee,https://www.seek.co.nz/job/50604738?type=standout#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,OneStaff Tauranga,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"2d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
General Labourer,https://www.seek.co.nz/job/50587729?type=standout#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,Enterprise Recruitment,"location: WellingtonWellingtonarea: Hutt ValleyHutt Valley,Competitive",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"5d ago,at",Competitive
Process Workers,https://www.seek.co.nz/job/50615174?type=standard#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,Jora New Zealand,location: WellingtonWellingtonarea: Wellington CentralWellington Central,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"44m ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
General Labourers,https://www.seek.co.nz/job/50608991?type=standout#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,AWF,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"22h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
Trade Assistant,https://www.seek.co.nz/job/50573049?type=standout#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,AWF,"location: AucklandAucklandarea: Auckland CentralAuckland Central,$20.00 - $24.00 p.h. + Annual leave, Kiwi Saver &",classification: Trades & ServicesTrades & ServicessubClassification: OtherOther,"7d ago,at","$20.00 - $24.00 p.h. + Annual leave, Kiwi Saver &"
Building apprentice - Third Year,https://www.seek.co.nz/job/50609950?type=standard#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,JC Nissen Builders Ltd,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades,"20h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades
Entry Level Driller Assistant,https://www.seek.co.nz/job/50588672?type=standard#searchRequestToken=0c00feb2-b947-42a6-af04-800c33f20c83,Alton Drilling Ltd,location: OtagoOtagoarea: Rest of OtagoRest of Otago,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"5d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
Carpenter Wanted,https://www.seek.co.nz/job/50582943?type=promoted#searchRequestToken=089020c0-b1a5-4010-96bf-ab0d25768f1c,BRK services,location: WellingtonWellingtonarea: Wellington CentralWellington Central,classification: Trades & ServicesTrades & ServicessubClassification: Carpentry & Cabinet MakingCarpentry & Cabinet Making,"Featured,at",classification: Trades & ServicesTrades & ServicessubClassification: Carpentry & Cabinet MakingCarpentry & Cabinet Making
OFFICE CLEANER - PERMANENT PART TIME,https://www.seek.co.nz/job/50593688?type=promoted#searchRequestToken=089020c0-b1a5-4010-96bf-ab0d25768f1c,helloworld,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: Cleaning ServicesCleaning Services,"Featured,at",classification: Trades & ServicesTrades & ServicessubClassification: Cleaning ServicesCleaning Services
Wastewater Maintenance Operator - Wellington,https://www.seek.co.nz/job/50600838?type=standout#searchRequestToken=089020c0-b1a5-4010-96bf-ab0d25768f1c,Veolia,location: WellingtonWellington,classification: Trades & ServicesTrades & ServicessubClassification: OtherOther,"2d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: OtherOther
Flexo Printer - Labels,https://www.seek.co.nz/job/50607940?type=standard#searchRequestToken=089020c0-b1a5-4010-96bf-ab0d25768f1c,CSG Talent,location: AucklandAuckland,classification: Trades & ServicesTrades & ServicessubClassification: Printing & Publishing ServicesPrinting & Publishing Services,"1d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Printing & Publishing ServicesPrinting & Publishing Services
Apprentice Welder / Sheetmetal Tradesperson,https://www.seek.co.nz/job/50559079?type=standout#searchRequestToken=089020c0-b1a5-4010-96bf-ab0d25768f1c,Goldsworthy Sheetmetal,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,classification: Trades & ServicesTrades & ServicessubClassification: Welders & BoilermakersWelders & Boilermakers,"9d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Welders & BoilermakersWelders & Boilermakers
